"ProvinceID","Name","Male U","Female U","Total U","Male R","Female R","Total R","Male","Female","Total"
"1","Attock","86","69","77","82","55","68","83","59","71"
"1","Bahawalnagar","71","56","64","62","41","52","64","44","54"
"1","Bahawalpur","77","66","71","55","33","44","63","43","53"
"1","Bhakhar","79","60","69","69","40","55","71","43","57"
"1","Chakwal","83","78","81","88","68","78","87","70","78"
"1","Chiniot","71","53","62","65","33","49","67","40","53"
"1","D.G.khan","76","57","66","56","25","41","60","31","46"
"1","Faisalabad","80","73","77","71","57","64","75","65","70"
"1","Gujranwala","82","80","81","73","67","70","78","75","77"
"1","Gujrat","82","78","80","82","72","76","82","73","78"
"1","Hafizabad","78","70","74","70","55","62","73","60","66"
"1","Islamabad","89","80","85","91","80","86","90","80","85"
"1","Jhelum","87","82","85","86","70","77","86","72","79"
"1","Jhang","83","75","79","73","45","59","76","53","64"
"1","Kasur","75","65","70","67","50","59","69","54","62"
"1","Khanewal","83","70","76","70","46","58","73","51","62"
"1","Khushab","82","59","70","77","41","58","78","46","61"
"1","Lahore","80","73","77","0","0","0","80","73","77"
"1","Layyah","83","65","74","76","49","63","77","52","65"
"1","Lodhran","82","61","72","60","38","50","64","42","54"
"1","Mandi Bahuddin","82","72","77","74","65","69","75","66","70"
"1","Mianwali","84","56","69","75","40","57","77","43","60"
"1","Multan","81","72","77","62","40","51","70","54","62"
"1","Muzaffar Garh","74","55","64","54","27","41","57","31","44"
"1","Nankana Sahib","75","62","69","71","58","65","72","59","66"
"1","Narowal","92","84","88","82","71","76","84","73","78"
"1","Okara","83","74","78","67","50","58","71","57","64"
"1","Pakpattan","76","63","70","61","40","50","63","43","53"
"1","Rahim Yar Khan","74","62","68","55","33","44","59","39","49"
"1","Rajanpur","77","56","67","46","21","34","51","27","40"
"1","Rawalpindi","90","81","85","88","72","80","89","76","83"
"1","Sahiwal","81","71","76","68","50","59","70","54","62"
"1","Sargodha","86","74","80","74","54","64","78","60","68"
"1","Sheikhupura","71","65","68","70","60","65","70","62","66"
"1","Sialkot","85","86","86","82","78","80","83","80","81"
"1","Toba Tek Singh","87","76","82","75","59","67","78","63","70"
"1","Vehari","83","70","76","54","38","46","59","44","52"
"2","Badin","66","40","54","39","13","27","46","20","34"
"2","Dadu","74","46","61","47","21","35","54","27","42"
"2","Ghotki","78","48","64","53","12","34","58","20","40"
"2","Hyderabad","72","63","68","63","31","48","71","58","65"
"2","Jacobabad","79","51","67","42","14","29","53","24","40"
"2","Jamshoro","82","59","71","44","15","31","57","31","45"
"2","Karachi Central","83","77","80","0","0","0","83","77","80"
"2","Karachi East","84","75","80","0","0","0","84","75","80"
"2","Karachi Malir","76","61","69","65","47","57","71","55","64"
"2","Karachi South","79","70","75","0","0","0","79","70","75"
"2","Karachi West","73","59","67","42","30","36","72","58","65"
"2","Kashmore","59","18","40","40","11","26","44","13","29"
"2","Khairpur","71","44","58","59","24","42","63","30","47"
