District,Province,Literacy_Rate,Toilet_Access,Distance_to_City_km
Bagh,Azad Kashmir,,,84.05788799488272
Bhimber,Azad Kashmir,,,124.06119894656612
Kotli,Azad Kashmir,,,81.95292414150795
Mirpur,Azad Kashmir,,,80.39598752582448
Muzaffarabad,Azad Kashmir,,,89.57371293555802
Neelum,Azad Kashmir,,,182.25334673429424
Poonch,Azad Kashmir,,,70.7610351083396
Sudhnati,Azad Kashmir,,,59.58049426407681
Awaran,Baluchistan,20.0,3.0,226.94886292942428
Disputed Area 1,Baluchistan,,,149.50199484346297
Disputed Area 2,Baluchistan,,,199.5090379817879
Kalat,Baluchistan,31.0,1.0,162.91160562652544
Kharan,Baluchistan,50.0,2.0,336.16698828896915
Khuzdar,Baluchistan,20.0,1.0,293.51683076009505
Lasbela,Baluchistan,46.0,64.0,
Mastung,Baluchistan,53.0,30.0,65.319480435061
Gwadar,Baluchistan,60.0,62.0,
Kech,Baluchistan,47.0,16.0,416.2482863462549
Panjgur,Baluchistan,,0.0,351.4813636470835
Bolan,Baluchistan,,,132.4451871658077
Jafarabad,Baluchistan,35.0,,239.7847745649241
Jhal Magsi,Baluchistan,,0.0,206.4993328287535
Nasirabad,Baluchistan,25.0,54.0,206.08609276073537
Chagai,Baluchistan,,0.0,353.51786100769004
Pishin,Baluchistan,59.0,65.0,53.783317599691685
Qilla Abdullah,Baluchistan,35.0,36.0,81.62654313956376
Quetta,Baluchistan,57.0,75.0,20.273732809724663
Dera Bugti,Baluchistan,14.0,24.0,240.93782966071527
Kholu,Baluchistan,57.0,94.0,190.70088146308856
Sibi,Baluchistan,45.0,35.0,96.32346456661477
Ziarat,Baluchistan,40.0,5.0,61.87641900088627
Barkhan,Baluchistan,28.0,23.0,254.0194770366028
Loralai,Baluchistan,50.0,73.0,171.39453428390092
Musakhel,Baluchistan,,,287.02363116571894
Qilla Saifullah,Baluchistan,44.0,9.0,154.29158575334353
Zhob,Baluchistan,,0.0,238.46942395197
Bajaur,F.A.T.A.,,,81.66318206482904
Khyber,F.A.T.A.,50.0,66.0,43.629794534789276
Kurram,F.A.T.A.,43.0,66.0,114.85775713703103
Largha Shirani,F.A.T.A.,,,303.61197521163933
Mohmand,F.A.T.A.,28.0,32.0,51.49744212537373
N. Waziristan,F.A.T.A.,43.0,57.0,184.69342957659973
Orakzai,F.A.T.A.,46.0,80.0,58.80705576904648
S. Waziristan,F.A.T.A.,36.0,50.0,238.655501253085
Islamabad,F.C.T.,85.0,99.0,2.5476016749644317
Bannu,N.W.F.P.,52.0,75.0,145.69661393278534
Lakki Marwat,N.W.F.P.,55.0,85.0,170.082626048304
Dera Ismail Khan,N.W.F.P.,44.0,84.0,251.07699019866445
Tank,N.W.F.P.,40.0,75.0,222.7012334428839
Adam Khel,N.W.F.P.,,,38.60823703292616
Bhittani,N.W.F.P.,,,207.62672208192274
Abbottabad,N.W.F.P.,77.0,96.0,52.1739001857805
Battagram,N.W.F.P.,42.0,79.0,125.05876196227297
Haripur,N.W.F.P.,71.0,94.0,37.68738505182365
Kohistan,N.W.F.P.,32.0,61.0,185.25298274750085
Mansehra,N.W.F.P.,62.0,91.0,117.88556783861937
Hangu,N.W.F.P.,39.0,96.0,87.87952408610735
Karak,N.W.F.P.,63.0,92.0,102.78394811811772
Kohat,N.W.F.P.,55.0,88.0,61.22769418281534
Chitral,N.W.F.P.,60.0,96.0,253.81515143298094
Dir,N.W.F.P.,,,131.05555733124805
Malakand P.A.,N.W.F.P.,63.0,94.0,67.81213713973361
Shangla,N.W.F.P.,38.0,73.0,128.36222621295897
Swat,N.W.F.P.,56.0,90.0,162.10335761815873
Buner,N.W.F.P.,45.0,67.0,99.13060399343725
Mardan,N.W.F.P.,58.0,91.0,62.125291252468436
Swabi,N.W.F.P.,58.0,94.0,73.44405735135842
Charsadda,N.W.F.P.,54.0,90.0,32.24482488738903
Nowshera,N.W.F.P.,59.0,93.0,43.180596547092534
Peshawar,N.W.F.P.,61.0,95.0,5.785655555905775
Chilas,Northern Areas,,,225.05964972366579
Gilgit,Northern Areas,,,320.35429174864703
Gilgit (Tribal Territory),Northern Areas,,,238.00380891721824
Kargil,Northern Areas,,,304.08240071619565
Kupwara (Gilgit Wazarat),Northern Areas,,,252.29154143803993
Ladakh (Leh),Northern Areas,,,381.84064334840826
Bahawalnagar,Punjab,54.0,76.0,243.19287770491238
Bahawalpur,Punjab,53.0,83.0,393.25340195647584
Rahimyar Khan,Punjab,49.0,79.0,396.2901507069564
Dera Ghazi Kha,Punjab,46.0,75.0,313.879402286119
Layyah,Punjab,65.0,85.0,302.6638692325895
Muzaffargarh,Punjab,44.0,73.0,359.7938080192768
Rajan Pur,Punjab,40.0,69.0,329.40838957480645
Faisalabad,Punjab,70.0,93.0,122.24485119039821
Jhang,Punjab,64.0,74.0,193.85763384962863
Toba Tek Singh,Punjab,70.0,91.0,189.05449047039323
Gujarat,Punjab,,,134.48093370795897
Gujranwala 1,Punjab,77.0,99.0,62.11466876485451
Gujranwala 2,Punjab,77.0,99.0,97.87298789513694
Gujrat,Punjab,78.0,99.0,136.31688733262837
Hafizabad,Punjab,66.0,92.0,99.41199346657497
Narowal 1,Punjab,78.0,96.0,108.1869547997865
Narowal 2,Punjab,78.0,96.0,77.50001509903615
Sialkot,Punjab,81.0,99.0,101.88714714569372
Kasur,Punjab,62.0,96.0,57.05304172012946
Lahore,Punjab,77.0,99.0,5.7712343276190525
Nankana Sahib,Punjab,66.0,99.0,68.8046669842262
Okara,Punjab,64.0,96.0,109.0823896938057
Okara 1,Punjab,64.0,96.0,115.64563977043625
Sheikhupura,Punjab,66.0,99.0,33.06633301707218
Khanewal,Punjab,62.0,86.0,259.0376274972498
Lodhran,Punjab,54.0,92.0,327.2607344210002
Multan,Punjab,62.0,91.0,335.34310254057124
Pakpattan,Punjab,53.0,87.0,173.96923177011905
Sahiwal,Punjab,62.0,95.0,179.2882386966992
Vehari,Punjab,52.0,66.0,255.14344467287742
Attok,Punjab,71.0,96.0,73.03539577566913
Chakwal,Punjab,78.0,97.0,101.28833903560894
Jhelum,Punjab,79.0,96.0,96.7601913346953
Rawalpindi,Punjab,83.0,97.0,25.581617660060044
Bhakkar,Punjab,57.0,61.0,262.20049123049415
Khushab,Punjab,61.0,83.0,191.27491901674105
Mianwali,Punjab,60.0,81.0,150.01788644526258
Sargodha,Punjab,68.0,87.0,168.4535434835436
Badin,Sind,34.0,42.0,188.9802871091924
Dadu,Sind,42.0,74.0,224.62143323689725
Hyderabad,Sind,65.0,90.0,164.63644721275458
Jamshoro,Sind,45.0,70.0,120.47985807670337
Matiari,Sind,50.0,61.0,180.92151747212927
Tando Allahyar,Sind,42.0,60.0,149.01235407901268
Tando M. Khan,Sind,31.0,49.0,194.7579070371721
Thatta,Sind,26.0,50.0,
Karachi Central,Sind,80.0,98.0,11.062490663966814
Karachi East,Sind,80.0,100.0,11.704772926201477
Karachi South,Sind,75.0,100.0,
Karachi west,Sind,65.0,98.0,
Malir,Sind,,,42.95194690505365
Jakobabad,Sind,40.0,79.0,267.24619661559484
Kashmore,Sind,29.0,68.0,310.2707919956048
Larkana,Sind,38.0,78.0,296.7900780828896
Shikarpur,Sind,38.0,58.0,297.5389547966855
Mirphurkhas,Sind,42.0,47.0,252.8242659430933
Mithi,Sind,28.0,21.0,322.74743543951365
Sanghar,Sind,47.0,52.0,262.3280030244052
Umerkot,Sind,40.0,33.0,279.6768965673519
Rann of Kutch,Sind,,,333.7196449443297
Ghotki,Sind,40.0,64.0,369.8403662550343
Khairpur,Sind,47.0,52.0,301.8128546490665
Naushahro Firoz,Sind,48.0,90.0,252.69528984264323
Nawab Shah,Sind,46.0,57.0,214.54670401732028
Sukkur,Sind,53.0,76.0,366.5087658602955
