"ProvinceID","Name","Total U","Total R","Total"
"1","Attock","100","95","96"
"1","Bahawalnagar","93","71","76"
"1","Bahawalpur","99","76","83"
"1","Bhakkar","90","56","61"
"1","Chakwal","99","97","97"
"1","Chiniot","95","56","68"
"1","D.G.khan","99","70","75"
"1","Faisalabad","100","88","93"
"1","Gujranwala","100","98","99"
"1","Gujrat","98","99","99"
"1","Hafizabad","99","89","92"
"1","Islamabad","99","99","99"
"1","Jhelum","100","95","96"
"1","Jhang","96","66","74"
"1","Kasur","99","95","96"
"1","Khanewal","99","83","86"
"1","Khushab","96","79","83"
"1","Lahore","99","0","99"
"1","Layyah","98","82","85"
"1","Lodhran","97","91","92"
"1","Mandi Bahuddin","98","90","91"
"1","Mianwali","96","78","81"
"1","Multan","99","86","91"
"1","Muzaffargarh","91","70","73"
"1","Nankana Sahib","100","98","99"
"1","Narowal","99","96","96"
"1","Okara","100","95","96"
"1","Pakpattan","100","85","87"
"1","Rahim Yar Khan","96","74","79"
"1","Rajanpur","100","62","69"
"1","Rawalpindi","99","96","97"
"1","Sahiwal","100","93","95"
"1","Sargodha","98","82","87"
"1","Sheikhupura","99","99","99"
"1","Sialkot","100","99","99"
"1","Toba Tek Singh","100","88","91"
"1","Vehari","97","60","66"
"2","Badin","75","31","42"
"2","Dadu","91","70","74"
"2","Ghotki","93","56","64"
"2","Hyderabad","95","60","90"
"2","Jacobabad","84","78","79"
"2","Jamshoro","100","52","70"
"2","Karachi central","98","0","98"
"2","Karachi East","100","0","100"
"2","Karachi Malir","100","95","98"
"2","Karachi South","100","0","100"
"2","Karachi west","99","84","98"
"2","Kashmore","86","63","68"
"2","Khairpur","79","40","52"
"2","Korangi","100","0","100"
"2","Larkana","100","59","78"
"2","Matiari","100","50","61"
"2","Mirpur Khas","93","31","47"
"2","Naushahro Feroze","100","88","90"
"2","Sanghar","92","39","52"
"2","Shahdadkot","82","77","79"
"2","Shikarpur","98","46","58"
"2","Sujawal","100","27","34"
"2","Sukkur","98","59","76"
"2","Tando Allah Yar","86","48","60"
"2","Tando Muhammad Khan","63","45","49"
"2","Tharparkar","48","19","21"
"2","Thatta","80","42","50"
"2","Umerkot","81","20","33"
"3","Abbottabad","100","95","96"
"3","Bannu","98","73","75"
"3","Batagram","0","79","79"
"3","Buner","0","67","67"
"3","Charsadda","96","88","90"
"3","Chitral","94","97","96"
"3","D.I.Khan","90","82","84"
"3","Hangu","99","95","96"
"3","Haripur","100","93","94"
"3","Karak","96","92","92"
"3","Khyber","76","64","66"
"3","Kohat","100","86","88"
"3","Kohistan","0","61","61"
"3","Kurram","0","66","66"
"3","Lakki Marwat","100","83","85"
"3","Lower Dir","100","84","84"
"3","Malakand PA","100","93","94"
"3","Mansehra","100","90","91"
"3","Mardan","98","89","91"
"3","Mohmand","0","32","32"
"3","North waziristan","0","57","57"
"3","Nowshera","99","91","93"
"3","orakzai","0","80","80"
"3","Peshawar","99","91","95"
"3","Shangla","0","73","73"
"3","South Waziristan","0","50","50"
"3","Swabi","99","93","94"
"3","Swat","99","85","90"
"3","Tank","100","73","75"
"3","Tor Garh","0","72","72"
"3","Upper Dir","100","88","88"
"4","Awaran","0","3","3"
"4","Barkhan","90","8","23"
"4","Chagai","0","0","0"
"4","Dera Bugti","77","4","24"
"4","Duki","100","89","90"
"4","Gwadar","92","12","62"
"4","Harnai","41","1","12"
"4","Jhal Magsi","0","0","0"
"4","Kachhi (Bolan)","89","4","14"
"4","Kalat","0","1","1"
"4","Ketch","28","9","16"
"4","Kharan","0","3","2"
"4","Khuzdar","0","1","1"
"4","Kohlu","100","93","94"
"4","Lasbela","63","64","64"
"4","Loralai","100","52","73"
"4","Mastung","94","14","30"
"4","Musa Khel","0","0","0"
"4","Nasirabad","99","45","54"
"4","Nushki","28","1","7"
"4","panjgur","0","0","0"
"4","Pishin","100","57","65"
"4","Killa Abdullah","58","33","36"
"4","Killa Saifullah","0","9","9"
"4","Quetta","89","64","75"
"4","Shaheed Sikandar Abad","0","5","5"
"4","Sheerani","0","21","21"
"4","Sibi","83","3","35"
"4","sohbatpur","100","31","36"
"4","washuk","29","9","12"
"4","zhob","0","0","0"
"4","Ziarat","92","4","5"
"4","Shaheed Benazirabad","84","48","57"
